pl_name,pl_rade,pl_radj,pl_bmasse,pl_orbsmax,pl_orbper,discoverymethod,disc_year
"Kepler-82 d",1.77000000,0.15800000,,0.0340000000,2.38296100000,"Transit",2014
"Kepler-82 e",2.47000000,0.22000000,,0.0630000000,5.90220600000,"Transit",2014
"Kepler-338 b",2.44000000,0.21800000,,0.1170000000,13.72697600000,"Transit",2014
"Kepler-247 c",4.09000000,0.36500000,,0.0840000000,9.43945200000,"Transit",2014
"Kepler-414 c",3.01000000,0.26900000,29.90000000,,7.17100000000,"Transit",2014
"Kepler-417 c",,,,,15.94300000000,"Transit",2014
"Kepler-415 c",,,,,8.70800000000,"Transit",2014
"bet Pic d",14.12331568,1.26000000,762.78817680,26.0000000000,33200.00000000000,"Imaging",2026
"HD 134606 e",,,2.34000000,0.0527000000,4.32030000000,"Radial Velocity",2024
"Kepler-1976 b",12.21000000,1.08930511,,0.0565000000,4.95931924400,"Transit",2023
"Kepler-411 c",4.42100000,0.39441520,26.40000000,0.0739000000,7.83443500000,"Transit",2016
"Kepler-411 d",3.31900000,0.29610135,15.20000000,0.2790000000,58.02035000000,"Transit",2018
"WASP-126 b",,,90.30000000,,3.28883000000,"Transit",2016
"CoRoT-8 b",6.39000000,0.57000000,69.92000000,0.0630000000,6.21229000000,"Transit",2010
"Kepler-546 b",7.00000000,0.62449817,,,4.14702025800,"Transit",2016
"HATS-7 b",6.31066700,0.56300000,38.13960000,0.0401200000,3.18531500000,"Transit",2015
"TOI-6954 b",3.63524486,0.32431538,,,4.02074127419,"Transit",2026
"MASCARA-1 b",17.90074218,1.59700000,,0.0403520000,2.14877381000,"Transit",2017
"TOI-5800 b",2.46000000,0.21946688,9.50000000,0.0344000000,2.62788380000,"Transit",2025
"HD 214823 b",,,5914.78665427,3.0800000000,1854.84424000000,"Radial Velocity",2016
"Kepler-1518 b",3.05000000,0.27210277,,,5.11177904000,"Transit",2016
"K2-320 b",2.62000000,0.23374074,,0.0142000000,1.99500000000,"Transit",2020
"OGLE-2018-BLG-1269L b",,,210.00000000,4.5100000000,,"Microlensing",2020
"Kepler-1953 b",1.28574667,0.11470683,,,6.24565982800,"Transit",2021
"Kepler-324 b",1.14000000,0.10200000,,0.0500000000,4.38531500000,"Transit",2014
"TOI-880.02",2.19000000,0.19537905,,0.0349000000,2.57571000000,"Transit",2024
"Kepler-375 c",2.65000000,0.23600000,,0.1410000000,19.98632600000,"Transit",2014
"HD 101581 b",0.95600000,0.08528875,,0.0460000000,4.46569000000,"Transit",2025
"EPIC 229004835 b",2.33200000,0.20804746,10.40000000,0.1237000000,16.14113200000,"Transit",2023
"Kepler-1334 b",2.29000000,0.20430012,,,15.64591713000,"Transit",2016
"Kepler-337 c",2.05000000,0.18300000,,0.0930000000,9.69320100000,"Transit",2014
"WASP-147 b",12.49803500,1.11500000,87.40325000,0.0549000000,4.60273000000,"Transit",2018
"TOI-3593 b",11.02963701,0.98400000,565.73456446,0.0481000000,3.82128670000,"Transit",2025
"Kepler-999 b",2.34000000,0.20876082,,,5.99185701700,"Transit",2016
"TOI-2443 b",2.36300000,0.21081310,4.80000000,0.1050000000,15.66858000000,"Transit",2023
"OGLE-2011-BLG-0173L b",,,60.00000000,8.0000000000,,"Microlensing",2018
"Kepler-722 b",2.63000000,0.23463288,,,4.09357325200,"Transit",2016
"HD 191806 b",,,2966.61035094,2.7490000000,1603.38923000000,"Radial Velocity",2016
"Kepler-11 f",2.49000000,0.22200000,2.00000000,0.2500000000,46.68880000000,"Transit",2010
"Kepler-1226 b",1.45000000,0.12936034,,,17.29234530000,"Transit",2016
"TIC 437041147 b",2.21526814,0.19763333,,,3.82301421497,"Transit",2026
"K2-83 b",1.24400000,0.11098225,,0.0301400000,2.74697000000,"Transit",2016
"Kepler-731 b",13.88000000,1.23829066,,,3.85560355100,"Transit",2016
"HD 213240 b",,,1773.49140000,1.8900000000,882.70001000000,"Radial Velocity",2001
"Kepler-561 b",6.96000000,0.62092961,,,58.36204950000,"Transit",2016
"K2-138 g",3.01300000,0.26880186,4.32000000,0.2310900000,41.96797000000,"Transit",2021
"HIP 29442 d",1.53800000,0.13721141,5.14000000,0.0673000000,6.42957500000,"Radial Velocity",2023
"HD 62364 c",,,7923.46218651,36.9840000000,74839.94555000000,"Radial Velocity",2022
"Kepler-978 b",2.99000000,0.26674993,,,49.62215090000,"Transit",2016
"HD 29985 b",,,1739.47487151,13.3900000000,20608.14049000000,"Radial Velocity",2022
"GJ 682 b",,,4.40000000,0.0800000000,17.47800000000,"Radial Velocity",2014
"Kepler-454 d",,,734.18362017,5.1000000000,4073.00000000000,"Radial Velocity",2023
"Kepler-338 d",3.00000000,0.26800000,,0.2570000000,44.43101400000,"Transit",2014
"Kepler-138 b",0.64000000,0.05709707,0.07000000,0.0753000000,10.31340000000,"Transit",2014
"Kepler-138 c",1.51000000,0.13471341,2.30000000,0.0913000000,13.78150000000,"Transit",2014
"Kepler-138 d",1.51000000,0.13471341,2.10000000,0.1288000000,23.09230000000,"Transit",2014
"Kepler-1933 b",1.17984089,0.10525854,,,4.94329023400,"Transit",2021
"Kepler-1101 b",2.47000000,0.22035864,,,81.31510590000,"Transit",2016
"HD 18438 b",,,6674.39654700,2.1000000000,803.00000000000,"Radial Velocity",2023
"HD 95735 c",,,13.60000000,2.9400000000,2946.00000000000,"Radial Velocity",2021
"Kepler-292 d",2.23000000,0.19900000,,0.0680000000,7.05567900000,"Transit",2014
"HD 45364 b",,,60.16491745,0.6793000000,225.79000000000,"Radial Velocity",2008
"HATS-53 b",15.02006000,1.34000000,189.10885000,0.0475300000,3.85377680000,"Transit",2017
"Kepler-260 b",2.01000000,0.17900000,,0.0750000000,8.18739900000,"Transit",2014
"TOI-4156 b",2.53823825,0.22644684,,,4.46189034133,"Transit",2026
"Kepler-347 c",1.75000000,0.15600000,,0.1830000000,27.32087100000,"Transit",2014
"HD 110014 b",,,3524.59000000,2.1400000000,835.47700000000,"Radial Velocity",2009
"HD 220197 b",,,63.56600000,2.7290000000,1728.00000000000,"Radial Velocity",2018
"WASP-37 b",13.00200000,1.16000000,572.07000000,0.0446000000,3.57746900000,"Transit",2010
"Kepler-335 c",3.07000000,0.27400000,,0.3560000000,67.84446900000,"Transit",2014
"KOI-3503 c",1.21000000,0.10794916,10.36000000,,31.82800000000,"Transit",2021
"WASP-46 b",13.15936600,1.17400000,607.05530000,0.0233500000,1.43036763000,"Transit",2011
"HD 115404 A c",,,3279.67133183,11.3640000000,15319.22517000000,"Radial Velocity",2022
"Kepler-1507 b",0.84000000,0.07493978,,,16.05062130000,"Transit",2016
"K2-273 b",3.05000000,0.27210324,,0.0729000000,11.71956630000,"Transit",2018
"TOI-1221 b",2.91000000,0.25961326,1112.39942450,0.3870000000,91.68278000000,"Transit",2023
"Kepler-253 d",3.17000000,0.28300000,,0.1300000000,18.11986900000,"Transit",2014
"CoRoT-4 b",13.34000000,1.19000000,228.83000000,0.0900000000,9.20205000000,"Transit",2008
"TOI-3894 b",15.27784069,1.36300000,260.61929374,0.0535400000,4.33454000000,"Transit",2024
"Kepler-1038 b",3.53000000,0.31492551,,,148.46033820000,"Transit",2016
"Kepler-846 b",2.48000000,0.22125078,,,19.80792185000,"Transit",2016
"Kepler-866 b",1.63000000,0.14541886,,,2.61703253600,"Transit",2016
"KOI-884 e",,,66.05405000,,31.10165900000,"Transit Timing Variations",2014
"TOI-2411 b",1.68000000,0.14987982,,0.0144000000,0.78269420000,"Transit",2022
"Kepler-301 c",1.35000000,0.12000000,,0.0600000000,5.41902600000,"Transit",2014
"K2-409 b",2.48200000,0.22142959,,,1.90808400000,"Transit",2022
"Kepler-37 d",2.03000000,0.18110478,2.00000000,0.2109000000,39.79226220000,"Transit",2013
"TIC 46432937 b",13.31626907,1.18800000,1017.05090240,0.0206500000,1.44044527000,"Transit",2024
"TOI-4562 b",,,,,225.10640000000,"Transit",2023
"Kepler-560 b",1.72000000,0.15344812,,,18.47764449000,"Transit",2016
"KMT-2023-BLG-1866L b",,,2.63000000,2.6300000000,,"Microlensing",2024
